# [C2r_Br1o] Distance / pm; [C2r_H1r]-[C2r_Br1o] Angle / Degree; Occurrence
355.0000000;  2.700000000;  8.445347908
365.0000000;  2.700000000;  258.7339304
375.0000000;  2.700000000;  1631.449662
385.0000000;  2.700000000;  4074.998477
395.0000000;  2.700000000;  5780.054940
405.0000000;  2.700000000;  5755.647727
415.0000000;  2.700000000;  4554.734247
425.0000000;  2.700000000;  3225.584091
435.0000000;  2.700000000;  2287.051756
445.0000000;  2.700000000;  1573.535197
455.0000000;  2.700000000;  1065.309901
465.0000000;  2.700000000;  753.4290604
475.0000000;  2.700000000;  546.7153232
485.0000000;  2.700000000;  424.8336623
495.0000000;  2.700000000;  300.3511205
505.0000000;  2.700000000;  212.5766570
515.0000000;  2.700000000;  202.5931818
525.0000000;  2.700000000;  174.9604252
535.0000000;  2.700000000;  158.3659930
545.0000000;  2.700000000;  139.6587555
555.0000000;  2.700000000;  95.30567743
565.0000000;  2.700000000;  101.7264695
575.0000000;  2.700000000;  105.6744539
585.0000000;  2.700000000;  97.90899373
595.0000000;  2.700000000;  101.4374616
605.0000000;  2.700000000;  86.37938570
615.0000000;  2.700000000;  78.05964000
625.0000000;  2.700000000;  71.97949835
635.0000000;  2.700000000;  76.62360162
645.0000000;  2.700000000;  67.90977501
655.0000000;  2.700000000;  54.10467306
665.0000000;  2.700000000;  62.15766472
675.0000000;  2.700000000;  52.27890534
685.0000000;  2.700000000;  73.22792844
695.0000000;  2.700000000;  76.11783993
705.0000000;  2.700000000;  63.80439295
715.0000000;  2.700000000;  69.39207208
725.0000000;  2.700000000;  76.76584938
735.0000000;  2.700000000;  69.42675185
745.0000000;  2.700000000;  72.36868265
755.0000000;  2.700000000;  64.72122293
765.0000000;  2.700000000;  70.03748858
775.0000000;  2.700000000;  82.35698469
785.0000000;  2.700000000;  77.30783769
795.0000000;  2.700000000;  75.94292702
805.0000000;  2.700000000;  78.77840803
815.0000000;  2.700000000;  77.48145492
825.0000000;  2.700000000;  82.05204612
835.0000000;  2.700000000;  71.32636077
845.0000000;  2.700000000;  73.51928846
855.0000000;  2.700000000;  72.38274431
865.0000000;  2.700000000;  65.96223955
875.0000000;  2.700000000;  67.79380009
885.0000000;  2.700000000;  62.30956872
895.0000000;  2.700000000;  63.60482221
905.0000000;  2.700000000;  60.02801515
915.0000000;  2.700000000;  61.21658003
925.0000000;  2.700000000;  47.47430524
935.0000000;  2.700000000;  50.94767589
945.0000000;  2.700000000;  44.16328909
955.0000000;  2.700000000;  42.42592580
965.0000000;  2.700000000;  44.81491424
975.0000000;  2.700000000;  40.25931341
985.0000000;  2.700000000;  38.78837866
995.0000000;  2.700000000;  42.25135589
5.000000000;  4.500000000;  0.000000000
15.00000000;  4.500000000;  0.000000000
25.00000000;  4.500000000;  0.000000000
35.00000000;  4.500000000;  0.000000000
45.00000000;  4.500000000;  0.000000000
55.00000000;  4.500000000;  0.000000000
65.00000000;  4.500000000;  0.000000000
75.00000000;  4.500000000;  0.000000000
85.00000000;  4.500000000;  0.000000000
95.00000000;  4.500000000;  0.000000000
105.0000000;  4.500000000;  0.000000000
115.0000000;  4.500000000;  0.000000000
125.0000000;  4.500000000;  0.000000000
135.0000000;  4.500000000;  0.000000000
145.0000000;  4.500000000;  0.000000000
155.0000000;  4.500000000;  0.000000000
165.0000000;  4.500000000;  0.000000000
175.0000000;  4.500000000;  0.000000000
185.0000000;  4.500000000;  0.000000000
195.0000000;  4.500000000;  0.000000000
205.0000000;  4.500000000;  0.000000000
215.0000000;  4.500000000;  0.000000000
225.0000000;  4.500000000;  0.000000000
235.0000000;  4.500000000;  0.000000000
245.0000000;  4.500000000;  0.000000000
255.0000000;  4.500000000;  0.000000000
265.0000000;  4.500000000;  0.000000000
275.0000000;  4.500000000;  0.000000000
285.0000000;  4.500000000;  0.000000000
295.0000000;  4.500000000;  0.000000000
305.0000000;  4.500000000;  0.000000000
315.0000000;  4.500000000;  0.000000000
325.0000000;  4.500000000;  0.000000000
335.0000000;  4.500000000;  0.000000000
345.0000000;  4.500000000;  0.000000000
355.0000000;  4.500000000;  10.21615288
365.0000000;  4.500000000;  275.4808765
375.0000000;  4.500000000;  1711.177830
385.0000000;  4.500000000;  4280.637450
395.0000000;  4.500000000;  5932.828297
405.0000000;  4.500000000;  5635.877934
415.0000000;  4.500000000;  4556.806086
425.0000000;  4.500000000;  3286.045921
435.0000000;  4.500000000;  2258.998738
445.0000000;  4.500000000;  1543.020165
455.0000000;  4.500000000;  994.5912178
465.0000000;  4.500000000;  740.6099411
475.0000000;  4.500000000;  520.9978508
485.0000000;  4.500000000;  395.4272003
495.0000000;  4.500000000;  276.6738593
505.0000000;  4.500000000;  222.1230841
515.0000000;  4.500000000;  185.8898512
525.0000000;  4.500000000;  175.1918841
535.0000000;  4.500000000;  171.5392018
545.0000000;  4.500000000;  133.1052333
555.0000000;  4.500000000;  96.09168710
565.0000000;  4.500000000;  93.35322430
575.0000000;  4.500000000;  88.35318986
