# x1	y1	P/MPa
0.77333333	0.99999543	0.62290110
0.77666667	0.99999552	0.62598843
0.78000000	0.99999562	0.62906221
0.78333333	0.99999572	0.63212202
0.78666667	0.99999581	0.63516741
0.79000000	0.99999591	0.63819795
0.79333333	0.99999600	0.64121319
0.79666667	0.99999609	0.64421270
0.80000000	0.99999618	0.64719601
0.80333333	0.99999626	0.65016267
0.80666667	0.99999635	0.65311224
0.81000000	0.99999643	0.65604425
0.81333333	0.99999652	0.65895824
0.81666667	0.99999660	0.66185375
0.82000000	0.99999668	0.66473032
0.82333333	0.99999676	0.66758747
0.82666667	0.99999684	0.67042474
0.83000000	0.99999691	0.67324166
0.83333333	0.99999699	0.67603775
0.83666667	0.99999706	0.67881254
0.84000000	0.99999713	0.68156556
0.84333333	0.99999721	0.68429633
0.84666667	0.99999728	0.68700438
0.85000000	0.99999734	0.68968923
0.85333333	0.99999741	0.69235041
0.85666667	0.99999748	0.69498745
0.86000000	0.99999755	0.69759987
0.86333333	0.99999761	0.70018720
0.86666667	0.99999767	0.70274899
0.87000000	0.99999774	0.70528476
0.87333333	0.99999780	0.70779406
0.87666667	0.99999786	0.71027643
0.88000000	0.99999792	0.71273143
0.88333333	0.99999798	0.71515861
0.88666667	0.99999804	0.71755755
0.89000000	0.99999809	0.71992781
0.89333333	0.99999815	0.72226899
0.89666667	0.99999821	0.72458069
0.90000000	0.99999826	0.72686252
0.90333333	0.99999831	0.72911411
0.90666667	0.99999837	0.73133511
0.91000000	0.99999842	0.73352519
0.91333333	0.99999847	0.73568405
0.91666667	0.99999852	0.73781140
0.92000000	0.99999857	0.73990702
0.92333333	0.99999862	0.74197069
0.92666667	0.99999867	0.74400224
0.93000000	0.99999872	0.74600158
0.93333333	0.99999877	0.74796865
0.93666667	0.99999882	0.74990346
0.94000000	0.99999886	0.75180612
0.94333333	0.99999891	0.75367683
0.94666667	0.99999896	0.75551591
0.95000000	0.99999901	0.75732380
0.95333333	0.99999905	0.75910115
0.95666667	0.99999910	0.76084881
0.96000000	0.99999915	0.76256787
0.96333333	0.99999920	0.76425981
0.96666667	0.99999924	0.76592651
0.97000000	0.99999929	0.76757046
0.97333333	0.99999934	0.76919493
0.97666667	0.99999940	0.77080430
0.98000000	0.99999945	0.77240458
0.98333333	0.99999951	0.77400422
0.98666667	0.99999957	0.77561567
0.99000000	0.99999965	0.77725843
0.99333333	0.99999973	0.77896623
0.99666667	0.99999983	0.78080826
1.00000000	1.00000000	0.78300165
