# [C2r_Br1o] Distance / pm; [C2r_H1r]-[C2r_Br1o] Angle / Degree; Occurrence
825.0000000;  2.700000000;  117.7205390
835.0000000;  2.700000000;  125.8673488
845.0000000;  2.700000000;  143.6663190
855.0000000;  2.700000000;  133.7333030
865.0000000;  2.700000000;  125.2598455
875.0000000;  2.700000000;  119.6595156
885.0000000;  2.700000000;  130.9748496
895.0000000;  2.700000000;  128.3127709
905.0000000;  2.700000000;  119.9340037
915.0000000;  2.700000000;  126.0509679
925.0000000;  2.700000000;  114.9948408
935.0000000;  2.700000000;  111.8088391
945.0000000;  2.700000000;  114.0371506
955.0000000;  2.700000000;  115.8750570
965.0000000;  2.700000000;  113.2037426
975.0000000;  2.700000000;  115.8073985
985.0000000;  2.700000000;  105.9052744
995.0000000;  2.700000000;  105.6523502
5.000000000;  4.500000000;  0.000000000
15.00000000;  4.500000000;  0.000000000
25.00000000;  4.500000000;  0.000000000
35.00000000;  4.500000000;  0.000000000
45.00000000;  4.500000000;  0.000000000
55.00000000;  4.500000000;  0.000000000
65.00000000;  4.500000000;  0.000000000
75.00000000;  4.500000000;  0.000000000
85.00000000;  4.500000000;  0.000000000
95.00000000;  4.500000000;  0.000000000
105.0000000;  4.500000000;  0.000000000
115.0000000;  4.500000000;  0.000000000
125.0000000;  4.500000000;  0.000000000
135.0000000;  4.500000000;  0.000000000
145.0000000;  4.500000000;  0.000000000
155.0000000;  4.500000000;  0.000000000
165.0000000;  4.500000000;  0.000000000
175.0000000;  4.500000000;  0.000000000
185.0000000;  4.500000000;  0.000000000
195.0000000;  4.500000000;  0.000000000
205.0000000;  4.500000000;  0.000000000
215.0000000;  4.500000000;  0.000000000
225.0000000;  4.500000000;  0.000000000
235.0000000;  4.500000000;  0.000000000
245.0000000;  4.500000000;  0.000000000
255.0000000;  4.500000000;  0.000000000
265.0000000;  4.500000000;  0.000000000
275.0000000;  4.500000000;  0.000000000
285.0000000;  4.500000000;  0.000000000
295.0000000;  4.500000000;  0.000000000
305.0000000;  4.500000000;  0.000000000
315.0000000;  4.500000000;  0.000000000
325.0000000;  4.500000000;  0.000000000
335.0000000;  4.500000000;  0.000000000
345.0000000;  4.500000000;  0.4804720063
355.0000000;  4.500000000;  5.120341782
365.0000000;  4.500000000;  33.05990530
375.0000000;  4.500000000;  270.8928687
385.0000000;  4.500000000;  961.9346523
395.0000000;  4.500000000;  1482.500751
405.0000000;  4.500000000;  1765.421060
415.0000000;  4.500000000;  1695.539527
425.0000000;  4.500000000;  1423.029459
435.0000000;  4.500000000;  1179.249933
445.0000000;  4.500000000;  835.3378380
455.0000000;  4.500000000;  660.1109641
465.0000000;  4.500000000;  527.6932808
475.0000000;  4.500000000;  422.9585431
485.0000000;  4.500000000;  314.0739765
495.0000000;  4.500000000;  241.7125954
505.0000000;  4.500000000;  241.6997257
515.0000000;  4.500000000;  204.7066263
525.0000000;  4.500000000;  177.6402028
535.0000000;  4.500000000;  140.4684688
545.0000000;  4.500000000;  130.4709074
555.0000000;  4.500000000;  124.9769772
565.0000000;  4.500000000;  127.1397402
575.0000000;  4.500000000;  111.9833237
585.0000000;  4.500000000;  106.1511567
595.0000000;  4.500000000;  102.2610115
605.0000000;  4.500000000;  93.31499981
615.0000000;  4.500000000;  99.88611201
625.0000000;  4.500000000;  103.8941008
635.0000000;  4.500000000;  101.5328226
645.0000000;  4.500000000;  104.5202987
655.0000000;  4.500000000;  94.88496625
665.0000000;  4.500000000;  90.39807123
675.0000000;  4.500000000;  97.43501296
685.0000000;  4.500000000;  89.46387016
695.0000000;  4.500000000;  82.86824774
705.0000000;  4.500000000;  89.38309192
715.0000000;  4.500000000;  91.49322931
