# Distance / pm;  g(r);  Integral
838.3333333;  0.9731643579;  1.433380030
841.6666667;  0.9787986829;  1.453196256
845.0000000;  0.9810364726;  1.473215418
848.3333333;  0.9808900102;  1.493389820
851.6666667;  0.9857519752;  1.513823862
855.0000000;  0.9889532604;  1.534485050
858.3333333;  0.9838453240;  1.555200105
861.6666667;  0.9816546990;  1.576029882
865.0000000;  0.9798374534;  1.596982271
868.3333333;  0.9919985384;  1.618358508
871.6666667;  0.9905163154;  1.639866992
875.0000000;  0.9827884766;  1.661371199
878.3333333;  0.9861727827;  1.683114177
881.6666667;  0.9869674073;  1.705040152
885.0000000;  0.9909476098;  1.727221325
888.3333333;  0.9857088492;  1.749451754
891.6666667;  0.9905453423;  1.771959224
895.0000000;  0.9878827428;  1.794574335
898.3333333;  0.9846600812;  1.817283889
901.6666667;  0.9860097280;  1.840193646
905.0000000;  0.9861609829;  1.863276644
908.3333333;  0.9903146591;  1.886627938
911.6666667;  0.9914749479;  1.910178493
915.0000000;  0.9889552279;  1.933841288
918.3333333;  0.9981748376;  1.957899013
921.6666667;  0.9921626541;  1.981985744
925.0000000;  0.9895398252;  2.006182880
928.3333333;  0.9914400724;  2.030601526
931.6666667;  0.9931639620;  2.055238609
935.0000000;  0.9938144353;  2.080068552
938.3333333;  0.9937024532;  2.105073034
941.6666667;  0.9883084667;  2.130118789
945.0000000;  0.9878171598;  2.155329633
948.3333333;  0.9919005651;  2.180823597
951.6666667;  0.9978422694;  2.206650885
955.0000000;  0.9917213736;  2.232499877
958.3333333;  0.9989905266;  2.258720424
961.6666667;  0.9958491382;  2.285040666
965.0000000;  0.9959995055;  2.311547687
968.3333333;  0.9942391184;  2.338190974
971.6666667;  0.9998277790;  2.365168802
975.0000000;  0.9962591185;  2.392235091
978.3333333;  0.9956194689;  2.419469268
981.6666667;  0.9950853598;  2.446874634
985.0000000;  0.9975529677;  2.474534851
988.3333333;  0.9976336777;  2.502384848
991.6666667;  1.003322999;  2.530582917
995.0000000;  1.003106354;  2.558964741
998.3333333;  0.9957921514;  2.587328710
