#     r/nm   g_cation    g_anion      g_hbd      g_hfc
   3.16000    1.00200    1.00000    1.00100    0.99900
   3.18000    1.00200    1.00100    1.00000    0.99900
   3.20000    1.00200    1.00100    1.00000    0.99900
   3.22000    1.00300    1.00000    1.00000    0.99900
   3.24000    1.00200    1.00100    1.00000    0.99900
   3.26000    1.00100    1.00000    1.00000    0.99900
   3.28000    1.00100    1.00000    0.99900    1.00000
   3.30000    1.00100    1.00000    1.00000    0.99800
   3.32000    1.00200    1.00000    1.00000    0.99900
   3.34000    1.00200    1.00000    0.99900    0.99800
   3.36000    1.00200    1.00000    1.00000    0.99900
   3.38000    1.00100    0.99900    0.99900    0.99900
   3.40000    1.00300    0.99900    1.00000    0.99900
   3.42000    1.00200    1.00000    1.00000    0.99900
   3.44000    1.00200    1.00100    0.99900    0.99900
   3.46000    1.00200    1.00000    0.99900    0.99900
   3.48000    1.00100    1.00100    1.00000    0.99900
   3.50000    1.00200    1.00000    1.00000    1.00000
   3.52000    1.00200    1.00000    1.00000    0.99900
   3.54000    1.00200    1.00100    1.00000    1.00000
